"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo","kod_sdmx"
"CS","LSTOBC",3228,"100","Bulharsko","Bulharská republika","2009-01-01","9999-09-09","BG"
"CS","LSTOBC",3228,"1000","Česká republika a Bulharsko","Česká republika a Bulharská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"100031","Bulharsko a Ázerbájdžán","Bulharsko a Ázerbájdžán","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"100051","Bulharsko a Arménie","Bulharsko a Arménie","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"100112","Bulharsko a Bělorusko","Bulharsko a Bělorusko","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"100124","Bulharsko a Kanada","Bulharsko a Kanada","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"100276","Bulharsko a Německo","Bulharsko a Německo","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"100300","Bulharsko a Řecko","Bulharsko a Řecko","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"100376","Bulharsko a Izrael","Bulharsko a Izrael","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"1004","Česká republika a Myanmar","Česká republika a Svaz Myanmar","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"100498","Bulharsko a Moldavsko","Bulharsko a Moldavsko","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"100616","Bulharsko a Polsko","Bulharsko a Polsko","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"100643","Bulharsko a Ruská federace","Bulharsko a Ruská federace","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"100688","Bulharsko a Srbsko","Bulharsko a Srbsko","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"100703","Bulharsko a Slovensko","Bulharsko a Slovensko","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"100704","Bulharsko a Vietnam","Bulharsko a Vietnam","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"100710","Bulharsko a Jižní Afrika","Bulharsko a Jižní Afrika","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"100792","Bulharsko a Turecko","Bulharsko a Turecko","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"1008","Česká republika a Burundi","Česká republika a Republika Burundi","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"100804","Bulharsko a Ukrajina","Bulharsko a Ukrajina","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"100807","Bulharsko a Makedonie, bývalá jugoslávská republika","Bulharsko a Makedonie, bývalá jugoslávská republika","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"100826","Bulharsko a Spojené království","Bulharsko a Spojené království","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"100840","Bulharsko a Spojené státy","Bulharsko a Spojené státy","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"1012","Česká republika a Bělorusko","Česká republika a Běloruská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1016","Česká republika a Kambodža","Česká republika a Kambodžské království","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1020","Česká republika a Kamerun","Česká republika a Kamerunská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1024","Česká republika a Kanada","Česká republika a Kanada","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1032","Česká republika a Kapverdy","Česká republika a Kapverdská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1036","Česká republika a Kajmanské ostrovy","Česká republika a Kajmanské ostrovy","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"104","Myanmar","Svaz Myanmar","2009-01-01","9999-09-09","MM"
"CS","LSTOBC",3228,"1040","Česká republika a Středoafrická republika","Česká republika a Středoafrická republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1044","Česká republika a Srí Lanka","Česká republika a Srílanská demokratická socialistická republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1048","Česká republika a Čad","Česká republika a Čadská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1052","Česká republika a Chile","Česká republika a Chilská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1056","Česká republika a Čína","Česká republika a Čínská lidová republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1058","Česká republika a Tchaj-wan","Česká republika a Tchaj-wan","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1070","Česká republika a Kolumbie","Česká republika a Kolumbijská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1074","Česká republika a Komory","Česká republika a Komorský svaz","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1075","Česká republika a Mayotte","Česká republika a Mayotte","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1078","Česká republika a Kongo","Česká republika a Konžská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"108","Burundi","Republika Burundi","2009-01-01","9999-09-09","BI"
"CS","LSTOBC",3228,"1080","Česká republika a Kongo, demokrat.repub.","Česká republika a Demokratická republika Kongo","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1088","Česká republika a Kostarika","Česká republika a Kostarická republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1091","Česká republika a Chorvatsko","Česká republika a Chorvatská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1092","Česká republika a Kuba","Česká republika a Kubánská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1096","Česká republika a Kypr","Česká republika a Kyperská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1104","Česká republika a Benin","Česká republika a Beninská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1108","Česká republika a Dánsko","Česká republika a Dánské království","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1112","Česká republika a Dominika","Česká republika a Dominické společenství","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1114","Česká republika a Dominikánská republika","Česká republika a Dominikánská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1118","Česká republika a Ekvádor","Česká republika a Ekvádorská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"112","Bělorusko","Běloruská republika","2009-01-01","9999-09-09","BY"
"CS","LSTOBC",3228,"112050","Bělorusko a Bangladéš","Bělorusko a Bangladéš","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"1122","Česká republika a Salvador","Česká republika a Salvadorská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"112376","Bělorusko a Izrael","Bělorusko a Izrael","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"112398","Bělorusko a Kazachstán","Bělorusko a Kazachstán","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"1126","Česká republika a Rovníková Guinea","Česká republika a Republika Rovníková Guinea","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"112643","Bělorusko a Ruská federace","Bělorusko a Ruská federace","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"112795","Bělorusko a Turkmenistán","Bělorusko a Turkmenistán","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"112804","Bělorusko a Ukrajina","Bělorusko a Ukrajina","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"112840","Bělorusko a Spojené státy","Bělorusko a Spojené státy","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"1131","Česká republika a Etiopie","Česká republika a Etiopská federativní demokratická republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1132","Česká republika a Eritrea","Česká republika a Eritrea","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1133","Česká republika a Estonsko","Česká republika a Estonská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1138","Česká republika a Falklandy (Malvíny)","Česká republika a Falklandské ostrovy (Malvíny)","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1142","Česká republika a Fidži","Česká republika a Republika Fidžijské ostrovy","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1146","Česká republika a Finsko","Česká republika a Finská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1150","Česká republika a Francie","Česká republika a Francouzská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1158","Česká republika a Francouzská Polynésie","Česká republika a Francouzská Polynésie","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"116","Kambodža","Kambodžské království","2009-01-01","9999-09-09","KH"
"CS","LSTOBC",3228,"1160","Česká republika a Francouzská jižní území","Česká republika a Francouzská jižní území","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1162","Česká republika a Džibutsko","Česká republika a Džibutská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1166","Česká republika a Gabon","Česká republika a Gabonská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1168","Česká republika a Gruzie","Česká republika a Gruzie","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1170","Česká republika a Gambie","Česká republika a Gambijská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1175","Česká republika a Okupované palestinské území","Česká republika a Okupované palestinské území","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1176","Česká republika a Německo","Česká republika a Spolková republika Německo","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1188","Česká republika a Ghana","Česká republika a Ghanská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1196","Česká republika a Kiribati","Česká republika a Republika Kiribati","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"12","Alžírsko","Alžírská lidová demokratická republika","2009-01-01","9999-09-09","DZ"
"CS","LSTOBC",3228,"120","Kamerun","Kamerunská republika","2009-01-01","9999-09-09","CM"
"CS","LSTOBC",3228,"1200","Česká republika a Řecko","Česká republika a Řecká republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1208","Česká republika a Grenada","Česká republika a Grenada","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"120840","Kamerun a Spojené státy","Kamerun a Spojené státy","2021-01-01","9999-09-09",
"CS","LSTOBC",3228,"1220","Česká republika a Guatemala","Česká republika a Guatemalská republika","2009-01-01","9999-09-09","NAT"
"CS","LSTOBC",3228,"1224","Česká republika a Guinea","Česká republika a Guinejská republika","2009-01-01","9999-09-09","NAT"
