"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo","min_tupy","max_tupy","min_ostry","max_ostry","export_dwh"
"CS","INTERVAL",7700,"200002000001000","(-2; -1>","-2 až -1 (více než -2 a méně nebo rovno -1)","1900-01-01","9999-09-09",-2,,,-1,
"CS","INTERVAL",7700,"200003000002000","(-3; -2>","-3 až -2 (více než -3 a méně nebo rovno -2)","1900-01-01","9999-09-09",-3,,,-2,
"CS","INTERVAL",7700,"200005000003000","(-5; -3>","-5 až -3 (více než -5 a méně nebo rovno -3)","1900-01-01","9999-09-09",-5,,,-3,
"CS","INTERVAL",7700,"200007000005000","(-7; -5>","-7 až -5 (více než -7 a méně nebo rovno -5)","1900-01-01","9999-09-09",-7,,,-5,
"CS","INTERVAL",7700,"210010000007000","(-10; -7>","-10 až -7 (více než -10 a méně nebo rovno -7)","1900-01-01","9999-09-09",-10,,,-7,
"CS","INTERVAL",7700,"220100010010000","(-100; -10>","-100 až -10 (více než -100 a méně nebo rovno -10)","1900-01-01","9999-09-09",-100,,,-10,
"CS","INTERVAL",7700,"220101010010000","(-101; -10>","-101 až -10 (více než -101 a méně nebo rovno -10)","1900-01-01","9999-09-09",-101,,,-10,
"CS","INTERVAL",7700,"261000600000000","(-1 000 000; 0)","-1 000 000 až 0 (více než -1 000 000 a méně než 0)","1900-01-01","9999-09-09",-1000000,0,,,
"CS","INTERVAL",7700,"263000061000000","(-3 000 000; -1 000 000>","-3 000 000 až -1 000 000 (více než -3 000 000 a méně nebo rovno -1 000 000)","1900-01-01","9999-09-09",-3000000,,,-1000000,
"CS","INTERVAL",7700,"271000063000000","(-10 000 000; -3 000 000>","-10 000 000 až -3 000 000 (více než -10 000 000 a méně nebo rovno -3 000 000)","1900-01-01","9999-09-09",-10000000,,,-3000000,
"CS","INTERVAL",7700,"399999400001000","(-N; 1>","Do 1 (méně nebo rovno 1)","1900-01-01","9999-09-09",-99999999999999999999,,,1,
"CS","INTERVAL",7700,"399999400002000","(-N; 2>","Do 2 (méně nebo rovno 2)","1900-01-01","9999-09-09",-99999999999999999999,,,2,
"CS","INTERVAL",7700,"399999400003000","(-N; 3>","Do 3 (méně nebo rovno 3)","1900-01-01","9999-09-09",-99999999999999999999,,,3,
"CS","INTERVAL",7700,"399999400004000","(-N; 4>","Do 4 (méně nebo rovno 4)","1900-01-01","9999-09-09",-99999999999999999999,,,4,
"CS","INTERVAL",7700,"399999400006000","(-N; 6>","Do 6 (méně nebo rovno 6)","1900-01-01","9999-09-09",-99999999999999999999,,,6,
"CS","INTERVAL",7700,"399999410012000","(-N; 12>","Do 12 (méně nebo rovno 12)","1900-01-01","9999-09-09",-99999999999999999999,,,12,
"CS","INTERVAL",7700,"399999410020000","(-N; 20>","Do 20 (méně nebo rovno 20)","1900-01-01","9999-09-09",-99999999999999999999,,,20,
"CS","INTERVAL",7700,"399999410024000","(-N; 24>","Do 24 (méně nebo rovno 24)","1900-01-01","9999-09-09",-99999999999999999999,,,24,
"CS","INTERVAL",7700,"399999410030000","(-N; 30>","Do 30 (méně nebo rovno 30)","1900-01-01","9999-09-09",-99999999999999999999,,,30,
"CS","INTERVAL",7700,"399999410035000","(-N; 35>","Do 35 (méně nebo rovno 35)","1900-01-01","9999-09-09",-99999999999999999999,,,35,
"CS","INTERVAL",7700,"399999410040000","(-N; 40>","Do 40 (méně nebo rovno 40)","1900-01-01","9999-09-09",-99999999999999999999,,,40,
"CS","INTERVAL",7700,"399999410050000","(-N; 50>","Do 50 (méně nebo rovno 50)","1900-01-01","9999-09-09",-99999999999999999999,,,50,
"CS","INTERVAL",7700,"399999410060000","(-N; 60>","Do 60 (méně nebo rovno 60)","1900-01-01","9999-09-09",-99999999999999999999,,,60,
"CS","INTERVAL",7700,"399999410096000","(-N; 96>","Do 96 (méně nebo rovno 96)","1900-01-01","9999-09-09",-99999999999999999999,,,96,
"CS","INTERVAL",7700,"399999420250000","(-N; 250>","Do 250 (méně nebo rovno 250)","1900-01-01","9999-09-09",-99999999999999999999,,,250,
"CS","INTERVAL",7700,"399999431909000","(-N; 1 909>","Do 1 909 (méně nebo rovno 1 909)","1900-01-01","9999-09-09",-99999999999999999999,,,1909,
"CS","INTERVAL",7700,"399999431919000","(-N; 1 919>","Do 1 919 (méně nebo rovno 1 919)","1900-01-01","9999-09-09",-99999999999999999999,,,1919,
"CS","INTERVAL",7700,"399999431959000","(-N; 1 959>","Do 1 959 (méně nebo rovno 1 959)","1900-01-01","9999-09-09",-99999999999999999999,,,1959,
"CS","INTERVAL",7700,"399999431960000","(-N; 1 960>","Do 1 960 (méně nebo rovno 1 960)","1900-01-01","9999-09-09",-99999999999999999999,,,1960,
"CS","INTERVAL",7700,"399999431969000","(-N; 1 969>","Do 1 969 (méně nebo rovno 1 969)","1900-01-01","9999-09-09",-99999999999999999999,,,1969,
"CS","INTERVAL",7700,"399999432006000","(-N; 2 006>","Do 2 006 (méně nebo rovno 2 006)","1900-01-01","9999-09-09",-99999999999999999999,,,2006,
"CS","INTERVAL",7700,"399999436000000","(-N; 6 000>","Do 6 000 (méně nebo rovno 6 000)","1900-01-01","9999-09-09",-99999999999999999999,,,6000,
"CS","INTERVAL",7700,"399999441000000","(-N; 10 000>","Do 10 000 (méně nebo rovno 10 000)","1900-01-01","9999-09-09",-99999999999999999999,,,10000,
"CS","INTERVAL",7700,"399999600000105","(-N; 0,5)","Do 0,5 (méně než 0,5)","1900-01-01","9999-09-09",-99999999999999999999,0.5,,,
"CS","INTERVAL",7700,"399999600001000","(-N; 1)","Do 1 (méně než 1)","1900-01-01","9999-09-09",-99999999999999999999,1,,,
"CS","INTERVAL",7700,"399999600002000","(-N; 2)","Do 2 (méně než 2)","1900-01-01","9999-09-09",-99999999999999999999,2,,,
"CS","INTERVAL",7700,"399999600003000","(-N; 3)","Do 3 (méně než 3)","1900-01-01","9999-09-09",-99999999999999999999,3,,,
"CS","INTERVAL",7700,"399999600004000","(-N; 4)","Do 4 (méně než 4)","1900-01-01","9999-09-09",-99999999999999999999,4,,,
"CS","INTERVAL",7700,"399999600005000","(-N; 5)","Do 5 (méně než 5)","1900-01-01","9999-09-09",-99999999999999999999,5,,,
"CS","INTERVAL",7700,"399999600006000","(-N; 6)","Do 6 (méně než 6)","1900-01-01","9999-09-09",-99999999999999999999,6,,,
"CS","INTERVAL",7700,"399999600008000","(-N; 8)","Do 8 (méně než 8)","1900-01-01","9999-09-09",-99999999999999999999,8,,,
"CS","INTERVAL",7700,"399999610010000","(-N; 10)","Do 10 (méně než 10)","1900-01-01","9999-09-09",-99999999999999999999,10,,,
"CS","INTERVAL",7700,"399999610012000","(-N; 12)","Do 12 (méně než 12)","1900-01-01","9999-09-09",-99999999999999999999,12,,,
"CS","INTERVAL",7700,"399999610015000","(-N; 15)","Do 15 (méně než 15)","1900-01-01","9999-09-09",-99999999999999999999,15,,,
"CS","INTERVAL",7700,"399999610018000","(-N; 18)","Do 18 (méně než 18)","1900-01-01","9999-09-09",-99999999999999999999,18,,,
"CS","INTERVAL",7700,"399999610020000","(-N; 20)","Do 20 (méně než 20)","1900-01-01","9999-09-09",-99999999999999999999,20,,,
"CS","INTERVAL",7700,"399999610024000","(-N; 24)","Do 24 (méně než 24)","1900-01-01","9999-09-09",-99999999999999999999,24,,,
"CS","INTERVAL",7700,"399999610025000","(-N; 25)","Do 25 (méně než 25)","1900-01-01","9999-09-09",-99999999999999999999,25,,,
"CS","INTERVAL",7700,"399999610028000","(-N; 28)","Do 28 (méně než 28)","1900-01-01","9999-09-09",-99999999999999999999,28,,,
"CS","INTERVAL",7700,"399999610030000","(-N; 30)","Do 30 (méně než 30)","1900-01-01","9999-09-09",-99999999999999999999,30,,,
"CS","INTERVAL",7700,"399999610035000","(-N; 35)","Do 35 (méně než 35)","1900-01-01","9999-09-09",-99999999999999999999,35,,,
"CS","INTERVAL",7700,"399999610037000","(-N; 37)","Do 37 (méně než 37)","1900-01-01","9999-09-09",-99999999999999999999,37,,,
"CS","INTERVAL",7700,"399999610040000","(-N; 40)","Do 40 (méně než 40)","1900-01-01","9999-09-09",-99999999999999999999,40,,,
"CS","INTERVAL",7700,"399999610050000","(-N; 50)","Do 50 (méně než 50)","1900-01-01","9999-09-09",-99999999999999999999,50,,,
"CS","INTERVAL",7700,"399999610057000","(-N; 57)","Do 57 (méně než 57)","1900-01-01","9999-09-09",-99999999999999999999,57,,,
"CS","INTERVAL",7700,"399999610060000","(-N; 60)","Do 60 (méně než 60)","1900-01-01","9999-09-09",-99999999999999999999,60,,,
"CS","INTERVAL",7700,"399999610096000","(-N; 96)","Do 96 (méně než 96)","1900-01-01","9999-09-09",-99999999999999999999,96,,,
"CS","INTERVAL",7700,"399999620100000","(-N; 100)","Do 100 (méně než 100)","1900-01-01","9999-09-09",-99999999999999999999,100,,,
"CS","INTERVAL",7700,"399999620120000","(-N; 120)","Do 120 (méně než 120)","1900-01-01","9999-09-09",-99999999999999999999,120,,,
"CS","INTERVAL",7700,"399999620200000","(-N; 200)","Do 200 (méně než 200)","1900-01-01","9999-09-09",-99999999999999999999,200,,,
"CS","INTERVAL",7700,"399999620450000","(-N; 450)","Do 450 (méně než 450)","1900-01-01","9999-09-09",-99999999999999999999,450,,,
"CS","INTERVAL",7700,"399999620500000","(-N; 500)","Do 500 (méně než 500)","1900-01-01","9999-09-09",-99999999999999999999,500,,,
"CS","INTERVAL",7700,"399999631000000","(-N; 1 000)","Do 1 000 (méně než 1 000)","1900-01-01","9999-09-09",-99999999999999999999,1000,,,
"CS","INTERVAL",7700,"399999631920000","(-N; 1 920)","Do 1 920 (méně než 1 920)","1900-01-01","9999-09-09",-99999999999999999999,1920,,,
"CS","INTERVAL",7700,"399999631961000","(-N; 1 961)","Do 1 961 (méně než 1 961)","1900-01-01","9999-09-09",-99999999999999999999,1961,,,
"CS","INTERVAL",7700,"399999631969000","(-N; 1 969)","Do 1 969 (méně než 1 969)","1900-01-01","9999-09-09",-99999999999999999999,1969,,,
"CS","INTERVAL",7700,"399999632000000","(-N; 2 000)","Do 2 000 (méně než 2 000)","1900-01-01","9999-09-09",-99999999999999999999,2000,,,
"CS","INTERVAL",7700,"399999632500000","(-N; 2 500)","Do 2 500 (méně než 2 500)","1900-01-01","9999-09-09",-99999999999999999999,2500,,,
"CS","INTERVAL",7700,"399999633000000","(-N; 3 000)","Do 3 000 (méně než 3 000)","1900-01-01","9999-09-09",-99999999999999999999,3000,,,
"CS","INTERVAL",7700,"399999641000000","(-N; 10 000)","Do 10 000 (méně než 10 000)","1900-01-01","9999-09-09",-99999999999999999999,10000,,,
"CS","INTERVAL",7700,"399999799999000","(-N; N)","-N až N (více než -N a méně než N)","1900-01-01","9999-09-09",-99999999999999999999,99999999999999999999,,,
"CS","INTERVAL",7700,"400000400000000","<0; 0>","0","1900-01-01","9999-09-09",,,0,0,
"CS","INTERVAL",7700,"400000400000105","<0,5; 0,5>","0,5","1900-01-01","9999-09-09",,,0.5,0.5,
"CS","INTERVAL",7700,"400000400001000","<0; 1>","0 až 1 (více nebo rovno 0 a méně nebo rovno 1)","1900-01-01","9999-09-09",,,0,1,
"CS","INTERVAL",7700,"400000400005000","<0; 5>","0 až 5 (více nebo rovno 0 a méně nebo rovno 5)","1900-01-01","9999-09-09",,,0,5,
"CS","INTERVAL",7700,"400000410010000","<0; 10>","0 až 10 (více nebo rovno 0 a méně nebo rovno 10)","1900-01-01","9999-09-09",,,0,10,
"CS","INTERVAL",7700,"400000410025000","<0; 25>","0 až 25 (více nebo rovno 0 a méně nebo rovno 25)","1900-01-01","9999-09-09",,,0,25,
"CS","INTERVAL",7700,"400000420300000","<0; 300>","0 až 300 (více nebo rovno 0 a méně nebo rovno 300)","1900-01-01","9999-09-09",,,0,300,
